year	month	day	34.5	190	1500	280	1000				
2003	10	20	0	0.5	0	0	0				
2003	10	21	0	0	0	0	0				
2003	10	22	0	0	0	0	0				
2003	10	23	0	0	0	0	0				
2003	10	24	0	0	0	0	0				
2003	10	25	0	0	0	0	0				
2003	10	26	0	0	0	0	0				
2003	10	27	0	0	0	0	0				
2003	10	28	5	5	4	0	0				
2003	10	29	0	0	0	7	0				
2003	10	30	0	0	0	0	0				
2003	10	31	0	0	0	0	0				
2003	11	1	0	0	0	0	0				
2003	11	2	0	0	0	0	0				
2003	11	3	12.5	20	8.5	34	0				
2003	11	4	5	12	26	11.5	0				
2003	11	5	0	0	0	0	0				
2003	11	6	0	0	0	0	0				
2003	11	7	0	0	0	0	0				
2003	11	8	0	0	0	0	0				
2003	11	9	0	0	0	0	0				
2003	11	10	0	0	0	0	0				
2003	11	11	0	0	0	0	0				
2003	11	12	0	0	0	0	0				
2003	11	13	0	0	0	0	0				
2003	11	14	11	15	5	23	0				
2003	11	15	24	47	14	29	5.5				
2003	11	16	0	0	0	0	4.5				
2003	11	17	0	0	0	0	0				
2003	11	18	0	0	0	0	0				
2003	11	19	0	0	0	0	0				
2003	11	20	0	0	0	0	0				
2003	11	21	5.5	6	0.5	10	2.5				
2003	11	22	17	20	16	27.5	9				
2003	11	23	0	0	4.5	0	0				
2003	11	24	0	0	0	0	0				
2003	11	25	0	0	0	0	0				
2003	11	26	0	0	0	0	0				
2003	11	27	0	0	0	0	0				
2003	11	28	0	0	0	0	0				
2003	11	29	0	0	0	0	0				
2003	11	30	6	3.5	0	6	0				
2003	12	1	2.5	7	0	1.5	0				
2003	12	2	0	0	0	0	0				
2003	12	3	0	2	1	0	0				
2003	12	4	3.5	0	0	18	0				
2003	12	5	0.5	8.5	0	2.5	0				
2003	12	6	0	0	0	0	0				
2003	12	7	0	0	6	0	0				
2003	12	8	0	0	0	0	0				
2003	12	9	0	0	0	0	0				
2003	12	10	7.5	5.5	0	0	0				
2003	12	11	16.5	43	14	45	4.5				
2003	12	12	0	0	4	0	0				
2003	12	13	0	0	0	0	0				
2003	12	14	0	0	0	0	0				
2003	12	15	0	0	0	0	0				
2003	12	16	0	0	0	0	0				
2003	12	17	0	0	0	0	0				
2003	12	18	0	0	0	0	0				
2003	12	19	0	0	0	0	0				
2003	12	20	0	0	0	0	0				
2003	12	21	1	0.5	0	3	0				
2003	12	22	3	3	6	3.5	3				
2003	12	23	0	0	0	0	0				
2003	12	24	0	0	0	0	0				
2003	12	25	4	7.5	1	4	0				
